position,mae,rmse,spearman,n_predictions
GK,0.8400296296296296,1.7673650611176115,0.6420381793533569,675
DEF,1.2156855036855037,2.0189871934881825,0.6341797503221057,2035
MID,1.146640365448505,2.155872966458902,0.6704715914291901,2408
FWD,1.2700257400257402,2.2598754250924844,0.6999359630077346,777
