method,n_predictions,mae,rmse,spearman
rf,6532,1.4154210042865891,2.4956974457989785,0.0007524674031252369
ma3,6532,1.4154210042865891,2.4956974457989785,0.0007524674031252369
pos,6532,1.3434387416610203,2.3822713057000096,-0.03671481269099846
