position,mae,rmse,spearman,n_predictions
GK,0.7540802675585284,1.6895539772793495,0.6740132893314406,598
DEF,1.2121073558648112,2.0510780998707445,0.5957826503923709,2012
MID,1.111373098478783,2.169351633370525,0.6872125497865459,2498
FWD,1.104935732647815,2.125573142124091,0.7024215376034724,778
