method,pos,n,MAE,RMSE,Spearman
ma3,ALL,6532,1.4154210042865891,2.4956974457989785,0.0007524674031252369
pos,ALL,6532,1.3434387416610203,2.3822713057000096,-0.03671481269099846
rf,ALL,6532,1.4154210042865891,2.4956974457989785,0.0007524674031252369
