method,gw,formation,xi_points,captain_id,vice_id,n_truth_matched,n_candidates,budget_used,optimum_points,optimum_formation,optimum_captain_id,efficiency,notes,used_fallback
rf,2,3-4-3,19.0,1,2,11,15,51.0,131,3-5-2,108,0.1450381679389313,,
rf_relaxed,2,3-4-3,19.0,1,2,11,15,51.0,131,3-5-2,108,0.1450381679389313,,
rf_optfill,2,3-4-3,19.0,1,2,11,15,51.0,131,3-5-2,108,0.1450381679389313,,False
rf_pos,2,3-4-3,34.0,220,190,11,15,550.0,131,3-5-2,108,0.2595419847328244,,
rf_rank,2,3-4-3,1.0,649,433,11,15,525.0,131,3-5-2,108,0.007633587786259542,,
pos,2,3-4-3,16.0,623,13,11,15,50.0,131,3-5-2,108,0.12213740458015267,,
rf,3,3-4-3,5.0,1,2,11,15,50.0,141,4-5-1,216,0.03546099290780142,,
rf_relaxed,3,3-4-3,5.0,1,2,11,15,50.0,141,4-5-1,216,0.03546099290780142,,
rf_optfill,3,3-4-3,5.0,1,2,11,15,50.0,141,4-5-1,216,0.03546099290780142,,False
rf_pos,3,5-3-2,20.0,427,341,11,15,569.0,141,4-5-1,216,0.14184397163120568,,
rf_rank,3,3-4-3,6.0,593,149,11,15,522.0,141,4-5-1,216,0.0425531914893617,,
ma3,3,4-3-3,30.0,356,326,11,15,68.2,141,4-5-1,216,0.2127659574468085,,
pos,3,3-4-3,11.0,149,207,11,15,56.5,141,4-5-1,216,0.07801418439716312,,
rf,4,3-4-3,17.0,212,500,11,15,75.69999999999999,142,3-4-3,516,0.11971830985915492,,
rf_relaxed,4,3-4-3,17.0,212,500,11,15,75.69999999999999,142,3-4-3,516,0.11971830985915492,,
rf_optfill,4,3-4-3,17.0,212,500,11,15,75.69999999999999,142,3-4-3,516,0.11971830985915492,,False
rf_pos,4,5-3-2,24.0,52,271,11,15,559.0,142,3-4-3,516,0.16901408450704225,,
rf_rank,4,3-4-3,18.0,399,490,11,15,548.0,142,3-4-3,516,0.1267605633802817,,
ma3,4,3-4-3,48.0,140,108,11,15,73.3,142,3-4-3,516,0.3380281690140845,,
pos,4,3-4-3,14.0,552,183,11,15,54.199999999999996,142,3-4-3,516,0.09859154929577464,,
rf,5,4-5-1,39.0,373,567,11,15,69.2,109,3-5-2,344,0.3577981651376147,,
rf_relaxed,5,4-5-1,39.0,373,430,11,15,67.89999999999999,109,3-5-2,344,0.3577981651376147,,
rf_optfill,5,4-5-1,39.0,373,567,11,15,69.2,109,3-5-2,344,0.3577981651376147,,False
rf_pos,5,5-4-1,39.0,643,228,11,15,549.0,109,3-5-2,344,0.3577981651376147,,
rf_rank,5,3-4-3,1.0,717,8,11,15,535.0,109,3-5-2,344,0.009174311926605505,,
ma3,5,3-5-2,21.0,365,140,11,15,65.0,109,3-5-2,344,0.1926605504587156,,
pos,5,3-4-3,14.0,168,677,11,15,50.199999999999996,109,3-5-2,344,0.12844036697247707,,
rf,6,3-5-2,87.0,19,373,11,15,75.6,140,4-5-1,430,0.6214285714285714,,
rf_relaxed,6,3-5-2,84.0,19,373,11,15,76.7,140,4-5-1,430,0.6,,
rf_optfill,6,3-5-2,87.0,19,373,11,15,75.6,140,4-5-1,430,0.6214285714285714,,False
rf_pos,6,5-3-2,14.0,262,639,11,15,554.0,140,4-5-1,430,0.1,,
rf_rank,6,3-4-3,11.0,13,117,11,15,569.0,140,4-5-1,430,0.07857142857142857,,
ma3,6,3-5-2,48.0,355,108,11,15,76.10000000000001,140,4-5-1,430,0.34285714285714286,,
pos,6,3-4-3,5.0,399,415,11,15,47.3,140,4-5-1,430,0.03571428571428571,,
rf,7,3-5-2,38.0,396,373,11,15,89.2,143,5-4-1,60,0.26573426573426573,,
rf_relaxed,7,3-5-2,38.0,396,373,11,15,89.2,143,5-4-1,60,0.26573426573426573,,
rf_optfill,7,3-5-2,38.0,396,373,11,15,89.2,143,5-4-1,60,0.26573426573426573,,False
rf_pos,7,4-4-2,20.0,341,96,11,15,555.0,143,5-4-1,60,0.13986013986013987,,
rf_rank,7,3-4-3,13.0,466,8,10,15,550.0,143,5-4-1,60,0.09090909090909091,,
ma3,7,3-4-3,28.0,355,343,11,15,81.89999999999999,143,5-4-1,60,0.1958041958041958,,
pos,7,3-4-3,8.0,656,677,11,15,50.89999999999999,143,5-4-1,60,0.055944055944055944,,
rf,8,3-4-3,39.0,355,501,11,15,80.49999999999999,136,4-5-1,216,0.2867647058823529,,
rf_relaxed,8,3-4-3,39.0,355,501,11,15,80.49999999999999,136,4-5-1,216,0.2867647058823529,,
rf_optfill,8,3-4-3,39.0,355,501,11,15,80.49999999999999,136,4-5-1,216,0.2867647058823529,,False
rf_pos,8,5-3-2,15.0,96,271,11,15,549.0,136,4-5-1,216,0.11029411764705882,,
rf_rank,8,3-4-3,8.0,468,85,11,15,525.0,136,4-5-1,216,0.058823529411764705,,
