method,gw,formation,xi_points,captain_id,vice_id,n_truth_matched,n_candidates,budget_used,optimum_points,optimum_formation,optimum_captain_id,efficiency,notes,used_fallback
rf,30,3-4-3,29.0,196.0,701.0,11,15,73.2,115.0,3-5-2,359.0,0.25217391304347825,,
rf_relaxed,30,3-4-3,29.0,196.0,701.0,11,15,73.2,115.0,3-5-2,359.0,0.25217391304347825,,
rf_pos,30,,0.0,,,0,0,0.0,,,,,Selection failed,
rf_rank,30,,0.0,,,0,0,0.0,,,,,Selection failed,
ma3,30,4-3-3,53.0,44.0,360.0,11,15,71.6,115.0,3-5-2,359.0,0.4608695652173913,,
pos,30,5-4-1,1.0,711.0,635.0,11,15,50.00000000000001,115.0,3-5-2,359.0,0.008695652173913044,,
rf,31,3-4-3,43.0,237.0,357.0,11,15,89.8,137.0,3-5-2,84.0,0.31386861313868614,,
rf_relaxed,31,3-4-3,43.0,237.0,357.0,11,15,89.8,137.0,3-5-2,84.0,0.31386861313868614,,
rf_pos,31,3-5-2,9.0,370.0,227.0,11,15,0.0,137.0,3-5-2,84.0,0.06569343065693431,,
rf_rank,31,,0.0,,,0,0,0.0,,,,,Selection failed,
ma3,31,4-4-2,76.0,360.0,44.0,11,15,84.4,137.0,3-5-2,84.0,0.5547445255474452,,
pos,31,5-4-1,18.0,695.0,685.0,11,15,37.9,137.0,3-5-2,84.0,0.13138686131386862,,
rf,32,4-5-1,59.0,237.0,357.0,11,15,91.19999999999999,147.0,3-5-2,359.0,0.4013605442176871,,
rf_relaxed,32,4-5-1,59.0,237.0,357.0,11,15,91.19999999999999,147.0,3-5-2,359.0,0.4013605442176871,,
rf_pos,32,3-5-2,14.0,371.0,561.0,11,15,0.0,147.0,3-5-2,359.0,0.09523809523809523,,
rf_rank,32,5-4-1,2.0,712.0,710.0,11,15,0.0,147.0,3-5-2,359.0,0.013605442176870748,,
ma3,32,3-5-2,78.0,357.0,234.0,11,15,91.69999999999999,147.0,3-5-2,359.0,0.5306122448979592,,
pos,32,5-4-1,12.0,8.0,690.0,11,15,57.599999999999994,147.0,3-5-2,359.0,0.08163265306122448,,
rf,33,4-5-1,63.0,234.0,233.0,11,15,90.3,135.0,3-5-2,233.0,0.4666666666666667,,
rf_relaxed,33,4-5-1,63.0,234.0,233.0,11,15,90.3,135.0,3-5-2,233.0,0.4666666666666667,,
rf_pos,33,3-5-2,24.0,329.0,90.0,11,13,0.0,135.0,3-5-2,233.0,0.17777777777777778,,
rf_rank,33,,0.0,,,0,0,0.0,,,,,Selection failed,
ma3,33,5-4-1,38.0,251.0,359.0,11,15,81.60000000000001,135.0,3-5-2,233.0,0.2814814814814815,,
pos,33,3-5-2,12.0,7.0,726.0,11,15,42.0,135.0,3-5-2,233.0,0.08888888888888889,,
rf,34,3-5-2,54.0,357.0,256.0,11,15,102.8,136.0,3-4-3,263.0,0.39705882352941174,,
rf_relaxed,34,3-5-2,54.0,357.0,256.0,11,15,102.8,136.0,3-4-3,263.0,0.39705882352941174,,
rf_pos,34,3-5-2,11.0,236.0,526.0,11,15,0.0,136.0,3-4-3,263.0,0.08088235294117647,,
rf_rank,34,4-4-2,2.0,3.0,11.0,11,12,0.0,136.0,3-4-3,263.0,0.014705882352941176,,
ma3,34,3-5-2,37.0,359.0,96.0,11,15,85.89999999999999,136.0,3-4-3,263.0,0.27205882352941174,,
pos,34,3-5-2,11.0,728.0,727.0,11,15,49.79999999999999,136.0,3-4-3,263.0,0.08088235294117647,,
rf,35,3-5-2,35.0,233.0,357.0,11,15,86.8,130.0,4-5-1,359.0,0.2692307692307692,,
rf_relaxed,35,3-5-2,29.0,233.0,357.0,11,15,84.3,130.0,4-5-1,359.0,0.2230769230769231,,
rf_pos,35,3-5-2,10.0,706.0,528.0,11,15,0.0,130.0,4-5-1,359.0,0.07692307692307693,,
rf_rank,35,5-4-1,4.0,728.0,725.0,11,15,0.0,130.0,4-5-1,359.0,0.03076923076923077,,
ma3,35,3-5-2,61.0,359.0,233.0,11,15,83.79999999999998,130.0,4-5-1,359.0,0.46923076923076923,,
pos,35,3-5-2,3.0,32.0,730.0,11,15,44.99999999999999,130.0,4-5-1,359.0,0.023076923076923078,,
rf,36,3-4-3,56.0,233.0,579.0,11,15,100.4,160.0,3-5-2,251.0,0.35,,
rf_relaxed,36,3-4-3,56.0,233.0,579.0,11,15,100.4,160.0,3-5-2,251.0,0.35,,
rf_pos,36,3-5-2,31.0,102.0,598.0,11,15,0.0,160.0,3-5-2,251.0,0.19375,,
rf_rank,36,,0.0,,,0,0,0.0,,,,,Selection failed,
ma3,36,3-5-2,64.0,263.0,233.0,11,15,94.9,160.0,3-5-2,251.0,0.4,,
pos,36,3-5-2,10.0,734.0,733.0,11,15,41.5,160.0,3-5-2,251.0,0.0625,,
rf,37,3-5-2,35.0,359.0,143.0,11,15,92.7,,,,,,
rf_relaxed,37,3-5-2,35.0,359.0,143.0,11,15,92.7,,,,,,
rf_pos,37,,0.0,,,0,0,0.0,,,,,Selection failed,
rf_rank,37,,0.0,,,0,0,0.0,,,,,Selection failed,
ma3,37,3-5-2,24.0,263.0,234.0,11,15,78.4,,,,,,
pos,37,4-5-1,7.0,22.0,32.0,11,15,43.0,,,,,,
rf,38,3-5-2,61.0,233.0,359.0,11,15,84.3,135.0,3-5-2,701.0,0.45185185185185184,,
rf_relaxed,38,3-5-2,61.0,233.0,359.0,11,15,84.3,135.0,3-5-2,701.0,0.45185185185185184,,
rf_pos,38,3-5-2,20.0,166.0,728.0,11,15,0.0,135.0,3-5-2,701.0,0.14814814814814814,,
rf_rank,38,5-4-1,1.0,737.0,721.0,11,15,0.0,135.0,3-5-2,701.0,0.007407407407407408,,
ma3,38,3-4-3,79.0,359.0,251.0,11,15,84.3,135.0,3-5-2,701.0,0.5851851851851851,,
pos,38,3-5-2,43.0,737.0,698.0,11,15,49.00000000000001,135.0,3-5-2,701.0,0.31851851851851853,,
