method,avg_xi_points,std_xi_points,n_gw,avg_efficiency
rf,51.333333333333336,14.46547614148943,9,0.3786324566659762
rf_relaxed,50.888888888888886,13.941345383825448,9,0.37549843420358087
ma3,45.333333333333336,14.713938969562161,9,0.33848252502603593
rf_rank,16.666666666666668,8.334666560017062,6,0.12485966956841282
rf_pos,11.666666666666666,9.447221813845593,9,0.08854363801162139
pos,8.666666666666666,4.272001872658765,9,0.06511468713297199
