method,avg_xi_points,std_xi_points,n_gw,avg_efficiency
ma3,56.666666666666664,20.049937655763422,9,0.4442728243862054
rf,48.333333333333336,12.932517156377564,9,0.36277639770981884
rf_relaxed,47.666666666666664,13.82931668593933,9,0.3570071669405881
rf_pos,17.0,8.286535263104035,7,0.11977326881217269
pos,13.0,12.349089035228468,9,0.09944773124681414
rf_rank,2.25,1.2583057392117916,4,0.016621990676612526
