method,gw,formation,xi_points,captain_id,vice_id,n_truth_matched,n_candidates,budget_used,notes
rf,30,3-4-3,35.0,407.0,318.0,11,15,71.1,OK
rf,31,,0.0,,,0,0,0.0,Selection failed
rf,32,,0.0,,,0,0,0.0,Selection failed
rf,33,3-4-3,44.0,80.0,280.0,11,14,84.9,OK
