method,gw,formation,xi_points,captain_id,vice_id,n_truth_matched,n_candidates,budget_used,optimum_points,optimum_formation,optimum_captain_id,efficiency,notes,used_fallback
rf,2,3-4-3,28.0,1,2,11,15,59.5,143,3-5-2,28,0.1958041958041958,,
rf_relaxed,2,3-4-3,28.0,1,2,11,15,59.5,143,3-5-2,28,0.1958041958041958,,
rf_optfill,2,3-4-3,28.0,1,2,11,15,59.5,143,3-5-2,28,0.1958041958041958,,False
rf_pos,2,4-5-1,43.0,225,220,11,15,582.0,143,3-5-2,28,0.3006993006993007,,
rf_rank,2,3-4-3,45.0,40,177,11,15,635.0,143,3-5-2,28,0.3146853146853147,,
ma3,2,5-4-1,57.0,318,96,11,15,66.5,143,3-5-2,28,0.3986013986013986,,
pos,2,3-4-3,10.0,125,488,11,15,56.0,143,3-5-2,28,0.06993006993006994,,
rf,3,3-4-3,23.0,1,2,11,15,59.4,134,3-5-2,7,0.17164179104477612,,
rf_relaxed,3,3-4-3,23.0,1,2,11,15,59.4,134,3-5-2,7,0.17164179104477612,,
rf_optfill,3,3-4-3,23.0,1,2,11,15,59.4,134,3-5-2,7,0.17164179104477612,,False
rf_pos,3,3-5-2,26.0,64,512,11,15,643.0,134,3-5-2,7,0.19402985074626866,,
rf_rank,3,3-4-3,21.0,210,66,11,15,575.0,134,3-5-2,7,0.15671641791044777,,
ma3,3,5-4-1,35.0,104,96,11,15,63.400000000000006,134,3-5-2,7,0.26119402985074625,,
pos,3,3-4-3,20.0,110,326,11,15,63.599999999999994,134,3-5-2,7,0.14925373134328357,,
rf,4,3-5-2,61.0,283,301,11,15,93.80000000000001,146,3-4-3,279,0.4178082191780822,,
rf_relaxed,4,3-5-2,65.0,283,301,11,15,94.3,146,3-4-3,279,0.4452054794520548,,
rf_optfill,4,3-5-2,61.0,283,301,11,15,93.80000000000001,146,3-4-3,279,0.4178082191780822,,False
rf_pos,4,3-5-2,23.0,371,83,11,15,674.0,146,3-4-3,279,0.15753424657534246,,
rf_rank,4,3-4-3,16.0,453,177,11,15,562.0,146,3-4-3,279,0.1095890410958904,,
ma3,4,3-4-3,46.0,225,28,11,15,78.49999999999999,146,3-4-3,279,0.3150684931506849,,
pos,4,3-4-3,8.0,488,476,11,15,54.599999999999994,146,3-4-3,279,0.0547945205479452,,
rf,5,3-4-3,51.0,279,428,11,15,87.7,114,3-5-2,318,0.4473684210526316,,
rf_relaxed,5,3-4-3,51.0,279,428,11,15,87.7,114,3-5-2,318,0.4473684210526316,,
rf_optfill,5,3-4-3,51.0,279,428,11,15,87.7,114,3-5-2,318,0.4473684210526316,,False
rf_pos,5,3-5-2,39.0,19,333,11,15,750.0,114,3-5-2,318,0.34210526315789475,,
rf_rank,5,3-4-3,11.0,80,227,11,15,541.0,114,3-5-2,318,0.09649122807017543,,
ma3,5,3-4-3,32.0,225,301,11,15,76.4,114,3-5-2,318,0.2807017543859649,,
pos,5,3-4-3,13.0,585,66,11,15,54.099999999999994,114,3-5-2,318,0.11403508771929824,,
rf,6,3-5-2,37.0,519,283,11,15,89.19999999999999,135,3-4-3,335,0.2740740740740741,,
rf_relaxed,6,3-5-2,39.0,519,283,11,15,89.1,135,3-4-3,335,0.28888888888888886,,
rf_optfill,6,3-5-2,37.0,519,283,11,15,89.19999999999999,135,3-4-3,335,0.2740740740740741,,False
rf_pos,6,3-5-2,33.0,19,321,11,15,687.0,135,3-4-3,335,0.24444444444444444,,
rf_rank,6,3-4-3,52.0,66,125,11,15,555.0,135,3-4-3,335,0.3851851851851852,,
ma3,6,3-4-3,28.0,225,7,11,15,78.29999999999998,135,3-4-3,335,0.2074074074074074,,
pos,6,3-4-3,7.0,597,411,11,15,51.5,135,3-4-3,335,0.05185185185185185,,
rf,8,3-4-3,68.0,318,427,11,15,84.60000000000001,122,3-5-2,428,0.5573770491803278,,
rf_relaxed,8,3-4-3,68.0,318,427,11,15,84.60000000000001,122,3-5-2,428,0.5573770491803278,,
rf_optfill,8,3-4-3,68.0,318,427,11,15,84.60000000000001,122,3-5-2,428,0.5573770491803278,,False
rf_pos,8,4-5-1,50.0,467,19,11,15,615.0,122,3-5-2,428,0.4098360655737705,,
rf_rank,8,3-4-3,32.0,394,210,11,15,609.0,122,3-5-2,428,0.26229508196721313,,
ma3,8,3-4-3,53.0,318,311,11,15,77.1,122,3-5-2,428,0.4344262295081967,,
pos,8,3-4-3,6.0,11,66,11,15,56.099999999999994,122,3-5-2,428,0.04918032786885246,,
rf,9,3-5-2,72.0,335,111,11,15,85.1,160,3-5-2,318,0.45,,
rf_relaxed,9,3-4-3,66.0,335,111,11,15,80.6,160,3-5-2,318,0.4125,,
rf_optfill,9,3-5-2,72.0,335,111,11,15,85.1,160,3-5-2,318,0.45,,False
rf_pos,9,3-5-2,30.0,296,186,11,15,659.0,160,3-5-2,318,0.1875,,
rf_rank,9,3-4-3,29.0,123,529,11,15,532.0,160,3-5-2,318,0.18125,,
ma3,9,3-4-3,75.0,318,279,11,15,88.9,160,3-5-2,318,0.46875,,
pos,9,3-4-3,36.0,608,54,11,15,57.4,160,3-5-2,318,0.225,,
rf,10,3-4-3,58.0,318,19,11,15,84.2,130,3-5-2,306,0.4461538461538462,,
rf_relaxed,10,3-4-3,58.0,318,19,11,15,84.2,130,3-5-2,306,0.4461538461538462,,
rf_optfill,10,3-4-3,58.0,318,19,11,15,84.2,130,3-5-2,306,0.4461538461538462,,False
rf_pos,10,3-5-2,40.0,370,283,11,15,712.0,130,3-5-2,306,0.3076923076923077,,
rf_rank,10,3-4-3,18.0,288,618,11,15,589.0,130,3-5-2,306,0.13846153846153847,,
ma3,10,3-4-3,57.0,318,279,11,15,89.80000000000001,130,3-5-2,306,0.43846153846153846,,
