method,gw,formation,xi_points,captain_id,vice_id,n_truth_matched,n_candidates,budget_used,optimum_points,optimum_formation,optimum_captain_id,efficiency,notes,used_fallback
rf_optfill,18,5-3-2,64.0,359.0,364.0,11,15,89.6,109.0,5-4-1,256.0,0.5871559633027523,,False
rf_pos,18,4-5-1,17.0,138.0,291.0,11,15,559.0,109.0,5-4-1,256.0,0.1559633027522936,,
rf_rank,18,3-5-2,7.0,130.0,244.0,11,15,539.0,109.0,5-4-1,256.0,0.06422018348623854,,
ma3,18,4-5-1,48.0,138.0,261.0,11,15,82.60000000000001,109.0,5-4-1,256.0,0.44036697247706424,,
pos,18,4-5-1,21.0,661.0,660.0,11,15,48.099999999999994,109.0,5-4-1,256.0,0.1926605504587156,,
rf,19,3-4-3,59.0,212.0,455.0,11,15,79.90000000000002,144.0,3-5-2,362.0,0.4097222222222222,,
rf_relaxed,19,3-4-3,59.0,212.0,455.0,11,15,79.90000000000002,144.0,3-5-2,362.0,0.4097222222222222,,
rf_optfill,19,3-4-3,59.0,212.0,455.0,11,15,79.90000000000002,144.0,3-5-2,362.0,0.4097222222222222,,False
rf_pos,19,4-5-1,31.0,274.0,251.0,11,15,686.0,144.0,3-5-2,362.0,0.2152777777777778,,
rf_rank,19,3-5-2,14.0,141.0,558.0,11,15,594.0,144.0,3-5-2,362.0,0.09722222222222222,,
ma3,19,4-5-1,68.0,16.0,212.0,11,15,67.89999999999999,144.0,3-5-2,362.0,0.4722222222222222,,
pos,19,4-5-1,31.0,50.0,64.0,11,15,53.3,144.0,3-5-2,362.0,0.2152777777777778,,
rf,20,4-4-2,38.0,233.0,579.0,11,15,85.1,120.0,3-5-2,200.0,0.31666666666666665,,
rf_relaxed,20,4-4-2,38.0,233.0,579.0,11,15,85.1,120.0,3-5-2,200.0,0.31666666666666665,,
rf_optfill,20,4-4-2,38.0,233.0,579.0,11,15,85.1,120.0,3-5-2,200.0,0.31666666666666665,,False
rf_pos,20,4-5-1,31.0,341.0,144.0,11,15,684.0,120.0,3-5-2,200.0,0.25833333333333336,,
rf_rank,20,3-5-2,15.0,336.0,216.0,11,15,598.0,120.0,3-5-2,200.0,0.125,,
ma3,20,3-5-2,36.0,237.0,359.0,11,15,86.89999999999999,120.0,3-5-2,200.0,0.3,,
pos,20,4-5-1,9.0,70.0,669.0,11,15,43.4,120.0,3-5-2,200.0,0.075,,
rf,21,5-4-1,39.0,256.0,579.0,11,15,83.1,125.0,3-5-2,420.0,0.312,,
rf_relaxed,21,5-4-1,39.0,579.0,256.0,11,15,83.1,125.0,3-5-2,420.0,0.312,,
rf_optfill,21,5-4-1,39.0,256.0,579.0,11,15,83.1,125.0,3-5-2,420.0,0.312,,False
rf_pos,21,4-5-1,40.0,21.0,341.0,11,15,607.0,125.0,3-5-2,420.0,0.32,,
rf_rank,21,3-5-2,11.0,81.0,557.0,10,15,578.0,125.0,3-5-2,420.0,0.088,,
ma3,21,4-5-1,46.0,254.0,359.0,11,15,78.89999999999999,125.0,3-5-2,420.0,0.368,,
pos,21,3-5-2,4.0,15.0,683.0,11,15,37.0,125.0,3-5-2,420.0,0.032,,
rf,22,3-5-2,31.0,233.0,579.0,11,15,84.1,134.0,4-5-1,267.0,0.23134328358208955,,
rf_relaxed,22,3-5-2,38.0,233.0,579.0,11,15,89.3,134.0,4-5-1,267.0,0.2835820895522388,,
rf_optfill,22,3-5-2,31.0,233.0,579.0,11,15,84.1,134.0,4-5-1,267.0,0.23134328358208955,,False
rf_pos,22,4-5-1,31.0,436.0,503.0,11,15,551.0,134.0,4-5-1,267.0,0.23134328358208955,,
rf_rank,22,3-5-2,8.0,81.0,557.0,10,15,586.0,134.0,4-5-1,267.0,0.05970149253731343,,
ma3,22,3-5-2,52.0,341.0,256.0,11,15,87.5,134.0,4-5-1,267.0,0.3880597014925373,,
pos,22,3-5-2,7.0,688.0,19.0,11,15,38.6,134.0,4-5-1,267.0,0.05223880597014925,,
rf,23,3-5-2,36.0,233.0,127.0,11,15,85.5,122.0,4-4-2,426.0,0.29508196721311475,,
rf_relaxed,23,3-5-2,30.0,233.0,127.0,11,15,92.0,122.0,4-4-2,426.0,0.2459016393442623,,
rf_optfill,23,3-5-2,36.0,233.0,127.0,11,15,85.5,122.0,4-4-2,426.0,0.29508196721311475,,False
rf_pos,23,4-5-1,16.0,503.0,341.0,11,15,666.0,122.0,4-4-2,426.0,0.13114754098360656,,
rf_rank,23,3-5-2,11.0,336.0,265.0,10,15,561.0,122.0,4-4-2,426.0,0.09016393442622951,,
ma3,23,4-5-1,44.0,420.0,341.0,11,15,62.99999999999999,122.0,4-4-2,426.0,0.36065573770491804,,
pos,23,3-5-2,16.0,22.0,700.0,11,15,40.800000000000004,122.0,4-4-2,426.0,0.13114754098360656,,
rf,24,3-5-2,61.0,277.0,233.0,11,15,92.19999999999999,133.0,3-5-2,240.0,0.45864661654135336,,
rf_relaxed,24,3-5-2,61.0,277.0,233.0,11,15,92.19999999999997,133.0,3-5-2,240.0,0.45864661654135336,,
rf_optfill,24,3-5-2,61.0,277.0,233.0,11,15,92.19999999999999,133.0,3-5-2,240.0,0.45864661654135336,,False
rf_pos,24,4-5-1,42.0,341.0,43.0,11,15,583.0,133.0,3-5-2,240.0,0.3157894736842105,,
rf_rank,24,3-5-2,21.0,250.0,336.0,11,15,589.0,133.0,3-5-2,240.0,0.15789473684210525,,
ma3,24,3-5-2,60.0,420.0,267.0,11,15,72.7,133.0,3-5-2,240.0,0.45112781954887216,,
pos,24,3-5-2,2.0,705.0,704.0,11,15,40.1,133.0,3-5-2,240.0,0.015037593984962405,,
rf,25,3-4-3,25.0,353.0,256.0,11,15,85.10000000000001,135.0,4-5-1,255.0,0.18518518518518517,,
rf_relaxed,25,3-4-3,24.0,353.0,256.0,11,15,90.10000000000001,135.0,4-5-1,255.0,0.17777777777777778,,
rf_optfill,25,3-4-3,25.0,353.0,256.0,11,15,85.10000000000001,135.0,4-5-1,255.0,0.18518518518518517,,False
rf_pos,25,4-5-1,29.0,232.0,341.0,11,15,661.0,135.0,4-5-1,255.0,0.21481481481481482,,
rf_rank,25,3-5-2,17.0,505.0,254.0,11,15,574.0,135.0,4-5-1,255.0,0.1259259259259259,,
ma3,25,3-5-2,31.0,267.0,426.0,11,15,69.4,135.0,4-5-1,255.0,0.22962962962962963,,
pos,25,3-5-2,23.0,55.0,707.0,11,15,44.7,135.0,4-5-1,255.0,0.17037037037037037,,
rf,26,5-3-2,52.0,234.0,256.0,11,15,83.2,140.0,4-5-1,230.0,0.37142857142857144,,
rf_relaxed,26,5-3-2,52.0,234.0,256.0,11,15,83.2,140.0,4-5-1,230.0,0.37142857142857144,,
rf_optfill,26,5-3-2,52.0,234.0,256.0,11,15,83.2,140.0,4-5-1,230.0,0.37142857142857144,,False
