method,gw,formation,xi_points,captain_id,vice_id,n_truth_matched,n_candidates,budget_used,optimum_points,optimum_formation,optimum_captain_id,efficiency,notes
rf,30,3-5-2,45.0,302.0,224.0,11,13,88.7,,,,,OK
ma3,30,3-5-2,49.0,275.0,302.0,11,13,86.4,,,,,OK
pos,30,5-3-2,11.0,685.0,681.0,11,15,56.9,,,,,OK
rf_pos,30,,0.0,,,0,0,0.0,,,,,Selection failed
rf_rank,30,,0.0,,,0,0,0.0,,,,,Selection failed
