position,MAE,RMSE,Spearman_rho
GK,0.8916287477068477,2.154634579730724,-0.007121340812691756
DEF,1.0335922148399614,2.2281358110626495,-0.0044768039421368465
MID,1.24685714752247,2.5569482169370317,-0.010970607282760461
FWD,1.525169959213652,3.1526285159362692,0.029790309114411856
