method,avg_xi_points,std_xi_points,n_gw,avg_efficiency
ma3,45.21621621621622,15.257302687083497,37,0.3446175706244819
rf_relaxed,41.24324324324324,16.523393190338435,37,0.3193709800700164
rf,41.08108108108108,16.783554083914638,37,0.3178226127699224
rf_optfill,41.08108108108108,16.783554083914638,37,0.3178226127699224
rf_pos,25.864864864864863,14.927904820916506,37,0.19787609776047158
rf_rank,15.72972972972973,8.41839470263597,37,0.12147575363304157
pos,14.675675675675675,8.86959241846375,37,0.11315642713492569
