method,avg_xi_points,std_xi_points,n_gw,avg_efficiency
rf,47.37837837837838,19.305081874630478,37,0.34483900993297917
rf_optfill,47.37837837837838,19.305081874630478,37,0.34483900993297917
rf_relaxed,47.361111111111114,19.116414454266824,36,0.34247533776726247
ma3,45.05714285714286,14.78859428777473,35,0.32446628953125506
rf_pos,29.54054054054054,14.803517965137347,37,0.21566097189260391
pos,10.457142857142857,6.459570451676185,35,0.07718629677684996
rf_rank,9.675675675675675,6.037172139954885,37,0.06983731797045907
