method,avg_xi_points,std_xi_points,n_gw,avg_efficiency
ma3,52.55555555555556,16.651659910584822,9,0.3674251103572803
rf,48.77777777777778,22.179820658527525,9,0.33869819576979143
rf_relaxed,47.111111111111114,22.166666666666668,9,0.32841087799580404
rf_pos,12.333333333333334,5.220153254455275,9,0.08728706048871146
pos,10.666666666666666,8.47053717304871,9,0.07525024677497955
rf_rank,10.571428571428571,6.502746672423453,7,0.07227497074723664
