method,gw,formation,xi_points,captain_id,vice_id,n_truth_matched,n_candidates,budget_used,optimum_points,optimum_formation,optimum_captain_id,efficiency,notes
rf,2,3-4-3,28.0,1.0,2.0,11,15,59.5,,,,,OK
ma3,2,5-4-1,57.0,318.0,96.0,11,15,66.5,,,,,OK
pos,2,3-4-3,10.0,125.0,488.0,11,15,56.0,,,,,OK
rf,3,3-4-3,23.0,1.0,2.0,11,15,59.4,,,,,OK
ma3,3,5-4-1,35.0,104.0,96.0,11,15,63.400000000000006,,,,,OK
pos,3,3-4-3,20.0,110.0,326.0,11,15,63.599999999999994,,,,,OK
rf,4,,0.0,,,0,0,0.0,,,,,Selection failed
ma3,4,3-4-3,46.0,225.0,28.0,11,14,78.49999999999999,,,,,OK
pos,4,3-4-3,8.0,488.0,476.0,11,15,54.599999999999994,,,,,OK
rf,5,,0.0,,,0,0,0.0,,,,,Selection failed
ma3,5,3-4-3,32.0,225.0,301.0,11,14,76.4,,,,,OK
pos,5,3-4-3,13.0,585.0,66.0,11,15,54.099999999999994,,,,,OK
rf,6,3-5-2,37.0,519.0,283.0,11,12,89.19999999999999,,,,,OK
ma3,6,3-4-3,28.0,225.0,7.0,11,14,78.29999999999998,,,,,OK
pos,6,3-4-3,7.0,597.0,411.0,11,15,51.5,,,,,OK
rf,8,3-4-3,68.0,318.0,427.0,11,13,84.60000000000001,,,,,OK
ma3,8,3-4-3,53.0,318.0,311.0,11,15,77.1,,,,,OK
pos,8,3-4-3,6.0,11.0,66.0,11,15,56.099999999999994,,,,,OK
rf,9,3-5-2,72.0,335.0,111.0,11,13,85.1,,,,,OK
ma3,9,3-4-3,75.0,318.0,279.0,11,12,88.9,,,,,OK
pos,9,3-4-3,36.0,608.0,54.0,11,15,57.4,,,,,OK
rf,10,3-4-3,58.0,318.0,19.0,11,14,84.2,,,,,OK
ma3,10,,0.0,,,0,0,0.0,,,,,Selection failed
pos,10,3-4-3,30.0,326.0,323.0,11,15,58.9,,,,,OK
rf,11,3-4-3,33.0,160.0,318.0,11,13,84.6,,,,,OK
ma3,11,3-5-2,37.0,318.0,111.0,11,13,84.7,,,,,OK
pos,11,3-4-3,7.0,11.0,137.0,11,15,58.0,,,,,OK
rf,12,3-4-3,51.0,283.0,279.0,11,13,85.1,,,,,OK
ma3,12,3-5-2,32.0,111.0,428.0,11,15,78.5,,,,,OK
pos,12,3-4-3,14.0,123.0,95.0,11,15,46.099999999999994,,,,,OK
