method,gw,formation,xi_points,captain_id,vice_id,n_truth_matched,n_candidates,budget_used,optimum_points,optimum_formation,optimum_captain_id,efficiency,notes
rf,13,,0.0,,,0,0,0.0,,,,,Selection failed
ma3,13,3-5-2,54.0,314.0,318.0,11,14,76.8,,,,,OK
pos,13,3-4-3,15.0,597.0,496.0,11,15,51.7,,,,,OK
rf,14,,0.0,,,0,0,0.0,,,,,Selection failed
ma3,14,3-5-2,37.0,314.0,318.0,11,15,76.2,,,,,OK
pos,14,3-4-3,10.0,596.0,585.0,11,15,51.3,,,,,OK
rf,15,3-5-2,70.0,28.0,283.0,11,13,86.3,,,,,OK
ma3,15,4-3-3,50.0,281.0,13.0,11,15,77.9,,,,,OK
pos,15,3-4-3,28.0,619.0,618.0,11,15,52.7,,,,,OK
rf,16,3-4-3,24.0,318.0,428.0,11,13,87.10000000000001,,,,,OK
ma3,16,4-5-1,43.0,369.0,356.0,11,15,65.9,,,,,OK
pos,16,3-4-3,46.0,80.0,597.0,11,15,53.2,,,,,OK
rf,17,3-5-2,74.0,283.0,311.0,11,13,86.30000000000001,,,,,OK
ma3,17,3-5-2,59.0,369.0,301.0,11,15,80.5,,,,,OK
pos,17,3-4-3,13.0,80.0,657.0,11,15,50.8,,,,,OK
rf,18,3-4-3,47.0,283.0,304.0,11,14,81.20000000000002,,,,,OK
ma3,18,3-5-2,39.0,535.0,357.0,11,15,62.7,,,,,OK
pos,18,3-4-3,28.0,541.0,528.0,11,15,53.6,,,,,OK
rf,19,3-5-2,43.0,300.0,283.0,11,12,92.8,,,,,OK
ma3,19,3-5-2,52.0,357.0,535.0,11,14,77.19999999999999,,,,,OK
pos,19,3-5-2,-2.0,690.0,689.0,11,15,36.3,,,,,OK
rf,20,,0.0,,,0,0,0.0,,,,,Selection failed
ma3,20,3-5-2,69.0,7.0,80.0,11,15,70.39999999999999,,,,,OK
pos,20,3-4-3,19.0,671.0,54.0,11,15,51.50000000000001,,,,,OK
rf,21,3-4-3,67.0,357.0,152.0,11,13,85.30000000000001,,,,,OK
ma3,21,3-5-2,60.0,332.0,357.0,11,15,77.6,,,,,OK
pos,21,3-4-3,16.0,80.0,40.0,11,15,58.9,,,,,OK
rf,22,3-4-3,13.0,225.0,465.0,11,12,85.10000000000001,,,,,OK
ma3,22,3-5-2,30.0,107.0,303.0,11,15,68.8,,,,,OK
pos,22,3-4-3,11.0,110.0,125.0,11,15,49.500000000000014,,,,,OK
rf,23,3-5-2,41.0,318.0,357.0,11,14,82.0,,,,,OK
ma3,23,3-5-2,44.0,107.0,303.0,11,15,76.0,,,,,OK
pos,23,4-3-3,10.0,345.0,669.0,11,15,49.0,,,,,OK
rf,24,3-4-3,57.0,318.0,427.0,11,14,82.40000000000002,,,,,OK
ma3,24,3-4-3,46.0,133.0,124.0,11,15,67.1,,,,,OK
pos,24,4-3-3,21.0,166.0,354.0,11,15,49.3,,,,,OK
rf,25,,0.0,,,0,0,0.0,,,,,Selection failed
ma3,25,3-4-3,48.0,262.0,40.0,11,14,79.0,,,,,OK
pos,25,4-3-3,38.0,700.0,695.0,11,15,52.39999999999999,,,,,OK
rf,26,,0.0,,,0,0,0.0,,,,,Selection failed
ma3,26,5-3-2,33.0,262.0,40.0,11,15,61.6,,,,,OK
pos,26,5-3-2,19.0,17.0,16.0,11,15,50.29999999999999,,,,,OK
rf,27,,0.0,,,0,0,0.0,,,,,Selection failed
ma3,27,5-4-1,40.0,335.0,13.0,11,14,74.7,,,,,OK
pos,27,4-3-3,8.0,684.0,685.0,11,15,41.3,,,,,OK
rf,28,3-5-2,47.0,427.0,261.0,11,15,76.89999999999999,,,,,OK
ma3,28,5-3-2,49.0,19.0,445.0,11,15,62.5,,,,,OK
pos,28,4-3-3,0.0,11.0,732.0,11,15,46.0,,,,,OK
rf,29,,0.0,,,0,0,0.0,,,,,Selection failed
ma3,29,3-5-2,40.0,283.0,280.0,11,14,84.5,,,,,OK
pos,29,3-4-3,13.0,690.0,218.0,11,15,52.900000000000006,,,,,OK
rf,30,3-4-3,52.0,318.0,407.0,11,15,74.60000000000001,,,,,OK
ma3,30,3-5-2,43.0,283.0,185.0,11,15,78.60000000000001,,,,,OK
pos,30,3-4-3,11.0,585.0,237.0,11,15,53.400000000000006,,,,,OK
rf,31,3-4-3,67.0,427.0,428.0,11,13,84.29999999999998,,,,,OK
ma3,31,3-4-3,34.0,233.0,594.0,11,15,71.9,,,,,OK
pos,31,3-4-3,4.0,447.0,714.0,11,15,50.60000000000001,,,,,OK
rf,32,3-5-2,45.0,427.0,283.0,11,14,84.7,,,,,OK
ma3,32,3-4-3,80.0,19.0,594.0,11,15,71.30000000000001,,,,,OK
pos,32,3-4-3,5.0,476.0,394.0,11,15,50.0,,,,,OK
rf,33,,0.0,,,0,0,0.0,,,,,Selection failed
ma3,33,3-5-2,48.0,40.0,169.0,11,15,72.30000000000001,,,,,OK
pos,33,3-4-3,11.0,40.0,732.0,11,15,50.80000000000001,,,,,OK
rf,34,3-5-2,40.0,427.0,318.0,11,13,87.89999999999999,,,,,OK
ma3,34,3-5-2,35.0,288.0,305.0,11,13,79.60000000000001,,,,,OK
pos,34,3-4-3,14.0,191.0,447.0,11,15,54.60000000000001,,,,,OK
rf,35,4-3-3,43.0,318.0,448.0,11,13,92.6,,,,,OK
ma3,35,3-4-3,38.0,318.0,301.0,11,14,85.2,,,,,OK
pos,35,3-4-3,2.0,447.0,714.0,11,15,50.400000000000006,,,,,OK
rf,36,,0.0,,,0,0,0.0,,,,,Selection failed
ma3,36,3-4-3,55.0,318.0,356.0,11,14,83.0,,,,,OK
pos,36,3-4-3,13.0,191.0,625.0,11,15,58.50000000000001,,,,,OK
rf,37,3-5-2,32.0,81.0,261.0,11,13,86.5,,,,,OK
ma3,37,3-4-3,35.0,534.0,703.0,11,14,83.4,,,,,OK
pos,37,3-4-3,7.0,62.0,714.0,11,15,53.6,,,,,OK
rf,38,,0.0,,,0,0,0.0,,,,,Selection failed
ma3,38,3-5-2,40.0,283.0,300.0,11,15,72.80000000000001,,,,,OK
pos,38,3-4-3,11.0,690.0,619.0,11,15,50.300000000000004,,,,,OK
