method,gw,formation,xi_points,captain_id,vice_id,n_truth_matched,n_candidates,budget_used,optimum_points,optimum_formation,optimum_captain_id,efficiency,notes,used_fallback
rf,2,3-4-3,2.0,1,2,11,15,44.0,171,3-4-3,390,0.011695906432748537,,
rf_relaxed,2,3-4-3,2.0,1,2,11,15,44.0,171,3-4-3,390,0.011695906432748537,,
rf_optfill,2,3-4-3,2.0,1,2,11,15,44.0,171,3-4-3,390,0.011695906432748537,,False
rf_pos,2,5-3-2,10.0,529,269,11,15,535.0,171,3-4-3,390,0.05847953216374269,,
rf_rank,2,4-5-1,20.0,76,228,11,15,631.0,171,3-4-3,390,0.11695906432748537,,
ma3,2,3-5-2,14.0,461,478,11,15,62.0,171,3-4-3,390,0.08187134502923976,,
pos,2,4-5-1,15.0,539,1,11,15,48.5,171,3-4-3,390,0.08771929824561403,,
rf,3,3-4-3,13.0,1,2,11,15,60.4,139,3-5-2,224,0.09352517985611511,,
rf_relaxed,3,3-4-3,13.0,1,2,11,15,60.4,139,3-5-2,224,0.09352517985611511,,
rf_optfill,3,3-4-3,13.0,1,2,11,15,60.4,139,3-5-2,224,0.09352517985611511,,False
rf_pos,3,4-5-1,24.0,76,190,11,15,550.0,139,3-5-2,224,0.17266187050359713,,
rf_rank,3,4-5-1,7.0,537,220,11,15,549.0,139,3-5-2,224,0.050359712230215826,,
ma3,3,5-4-1,38.0,254,288,11,15,63.9,139,3-5-2,224,0.2733812949640288,,
pos,3,3-4-3,26.0,303,320,11,15,56.4,139,3-5-2,224,0.18705035971223022,,
rf,4,3-5-2,45.0,4,251,11,15,99.9,181,3-4-3,37,0.24861878453038674,,
rf_relaxed,4,3-5-2,45.0,4,251,11,15,99.9,181,3-4-3,37,0.24861878453038674,,
rf_optfill,4,3-5-2,45.0,4,251,11,15,99.9,181,3-4-3,37,0.24861878453038674,,False
rf_pos,4,5-3-2,30.0,517,266,11,15,546.0,181,3-4-3,37,0.16574585635359115,,
rf_rank,4,4-5-1,15.0,372,80,11,15,576.0,181,3-4-3,37,0.08287292817679558,,
ma3,4,3-4-3,80.0,390,164,11,15,84.6,181,3-4-3,37,0.4419889502762431,,
pos,4,3-4-3,10.0,22,282,11,15,65.5,181,3-4-3,37,0.055248618784530384,,
rf,5,3-5-2,42.0,543,276,11,15,97.00000000000001,132,3-4-3,388,0.3181818181818182,,
rf_relaxed,5,3-5-2,33.0,543,276,11,15,91.5,132,3-4-3,388,0.25,,
rf_optfill,5,3-5-2,42.0,543,276,11,15,97.00000000000001,132,3-4-3,388,0.3181818181818182,,False
rf_pos,5,5-3-2,22.0,485,517,11,15,562.0,132,3-4-3,388,0.16666666666666666,,
rf_rank,5,4-5-1,14.0,76,228,11,15,550.0,132,3-4-3,388,0.10606060606060606,,
