method,avg_xi_points,std_xi_points,n_gw,avg_efficiency
rf,49.611111111111114,16.032605666093218,36,0.38033086736877825
rf_optfill,49.611111111111114,16.032605666093218,36,0.38033086736877825
rf_relaxed,49.05555555555556,15.42529359654728,36,0.37630702018996876
ma3,45.916666666666664,12.477121920882693,36,0.35155193143049723
rf_pos,34.02777777777778,10.694420737965892,36,0.26178096323094613
rf_rank,17.944444444444443,10.722325026236334,36,0.13600196732423198
pos,15.411764705882353,10.298919175592323,34,0.11743097724677248
