method,gw,formation,xi_points,captain_id,vice_id,n_truth_matched,n_candidates,budget_used,optimum_points,optimum_formation,optimum_captain_id,efficiency,notes,used_fallback
rf,30,3-4-3,52.0,318.0,407.0,11,15,74.60000000000001,123.0,3-5-2,171.0,0.42276422764227645,,
rf_relaxed,30,3-4-3,52.0,318.0,407.0,11,15,74.60000000000001,123.0,3-5-2,171.0,0.42276422764227645,,
rf_pos,30,3-5-2,19.0,345.0,339.0,11,15,0.0,123.0,3-5-2,171.0,0.15447154471544716,,
rf_rank,30,4-3-3,24.0,20.0,3.0,11,15,0.0,123.0,3-5-2,171.0,0.1951219512195122,,
ma3,30,3-5-2,43.0,283.0,185.0,11,15,78.60000000000001,123.0,3-5-2,171.0,0.34959349593495936,,
pos,30,3-4-3,11.0,585.0,237.0,11,15,53.400000000000006,123.0,3-5-2,171.0,0.08943089430894309,,
rf,31,3-4-3,67.0,427.0,428.0,11,15,84.29999999999998,146.0,3-4-3,288.0,0.4589041095890411,,
rf_relaxed,31,3-4-3,61.0,427.0,428.0,11,15,81.89999999999999,146.0,3-4-3,288.0,0.4178082191780822,,
rf_pos,31,4-5-1,5.0,529.0,583.0,11,15,0.0,146.0,3-4-3,288.0,0.03424657534246575,,
rf_rank,31,4-3-3,12.0,696.0,655.0,11,15,0.0,146.0,3-4-3,288.0,0.0821917808219178,,
ma3,31,3-4-3,34.0,233.0,594.0,11,15,71.9,146.0,3-4-3,288.0,0.2328767123287671,,
pos,31,3-4-3,4.0,447.0,714.0,11,15,50.60000000000001,146.0,3-4-3,288.0,0.0273972602739726,,
rf,32,3-5-2,45.0,427.0,283.0,11,15,84.7,129.0,3-5-2,288.0,0.3488372093023256,,
rf_relaxed,32,3-5-2,45.0,427.0,283.0,11,15,84.7,129.0,3-5-2,288.0,0.3488372093023256,,
rf_pos,32,4-4-2,17.0,40.0,428.0,11,14,0.0,129.0,3-5-2,288.0,0.13178294573643412,,
rf_rank,32,5-4-1,29.0,458.0,538.0,11,13,0.0,129.0,3-5-2,288.0,0.2248062015503876,,
ma3,32,3-4-3,80.0,19.0,594.0,11,15,71.30000000000001,129.0,3-5-2,288.0,0.6201550387596899,,
pos,32,3-4-3,5.0,476.0,394.0,11,15,50.0,129.0,3-5-2,288.0,0.03875968992248062,,
rf,33,3-4-3,73.0,80.0,283.0,11,15,99.79999999999998,140.0,3-4-3,301.0,0.5214285714285715,,
rf_relaxed,33,3-4-3,73.0,80.0,283.0,11,15,99.79999999999998,140.0,3-4-3,301.0,0.5214285714285715,,
rf_pos,33,4-5-1,11.0,584.0,289.0,11,15,0.0,140.0,3-4-3,301.0,0.07857142857142857,,
rf_rank,33,4-3-3,10.0,27.0,3.0,11,15,0.0,140.0,3-4-3,301.0,0.07142857142857142,,
ma3,33,3-5-2,48.0,40.0,169.0,11,15,72.30000000000001,140.0,3-4-3,301.0,0.34285714285714286,,
pos,33,3-4-3,11.0,40.0,732.0,11,15,50.80000000000001,140.0,3-4-3,301.0,0.07857142857142857,,
rf,34,3-5-2,40.0,427.0,318.0,11,15,87.89999999999999,127.0,3-5-2,308.0,0.31496062992125984,,
rf_relaxed,34,3-5-2,40.0,427.0,428.0,11,15,87.89999999999999,127.0,3-5-2,308.0,0.31496062992125984,,
rf_pos,34,4-5-1,27.0,290.0,93.0,11,15,0.0,127.0,3-5-2,308.0,0.2125984251968504,,
rf_rank,34,,0.0,,,0,0,0.0,,,,,Selection failed,
ma3,34,3-5-2,35.0,288.0,305.0,11,15,79.60000000000001,127.0,3-5-2,308.0,0.2755905511811024,,
pos,34,3-4-3,14.0,191.0,447.0,11,15,54.60000000000001,127.0,3-5-2,308.0,0.11023622047244094,,
rf,35,4-3-3,43.0,318.0,448.0,11,15,92.6,144.0,3-5-2,534.0,0.2986111111111111,,
rf_relaxed,35,3-4-3,49.0,318.0,448.0,11,15,95.19999999999999,144.0,3-5-2,534.0,0.3402777777777778,,
rf_pos,35,4-5-1,1.0,17.0,183.0,11,15,0.0,144.0,3-5-2,534.0,0.006944444444444444,,
rf_rank,35,4-3-3,17.0,137.0,589.0,11,15,0.0,144.0,3-5-2,534.0,0.11805555555555555,,
ma3,35,3-4-3,38.0,318.0,301.0,11,15,85.2,144.0,3-5-2,534.0,0.2638888888888889,,
pos,35,3-4-3,2.0,447.0,714.0,11,15,50.400000000000006,144.0,3-5-2,534.0,0.013888888888888888,,
rf,36,3-4-3,68.0,318.0,478.0,11,15,91.99999999999999,144.0,3-5-2,300.0,0.4722222222222222,,
rf_relaxed,36,3-4-3,68.0,318.0,478.0,11,15,92.0,144.0,3-5-2,300.0,0.4722222222222222,,
rf_pos,36,4-5-1,20.0,714.0,187.0,11,15,0.0,144.0,3-5-2,300.0,0.1388888888888889,,
rf_rank,36,,0.0,,,0,0,0.0,,,,,Selection failed,
ma3,36,3-4-3,55.0,318.0,356.0,11,15,83.0,144.0,3-5-2,300.0,0.3819444444444444,,
pos,36,3-4-3,13.0,191.0,625.0,11,15,58.50000000000001,144.0,3-5-2,300.0,0.09027777777777778,,
rf,37,3-5-2,33.0,81.0,261.0,11,15,90.4,120.0,3-5-2,95.0,0.275,,
rf_relaxed,37,3-5-2,33.0,81.0,261.0,11,15,90.4,120.0,3-5-2,95.0,0.275,,
