name,assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,player_id,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,gw,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,points,transfers_balance,transfers_in,transfers_out,price,was_home,winning_goals,yellow_cards,GW,season,pos,team,xP,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,starts
Tyrone Mings,0,,,,0,10,0,,,0.3,,,39,,,51,,1,0,1.4,,11.6,,2022-09-03T16:30:00Z,,,,90,,,13,0,,0,0,,0,6,0,318244,,,,1.0,1.0,2.0,2,-33394,7146,40540,43,True,,0,6,2022-23,DEF,Aston Villa,0.2,0.0,0.0,0.0,0.0,0.0
Kevin Mbabu,0,,,,0,10,0,,,4.7,,,532,,,59,,2,0,1.4,,9.0,,2022-09-03T14:00:00Z,,,,61,,,18,0,,0,0,,0,6,0,18804,,,,1.0,2.0,0.0,1,-1337,998,2335,45,False,,0,6,2022-23,DEF,Fulham,0.2,0.0,0.0,0.0,0.0,0.0
Harvey White,0,,,,0,0,0,,,0.0,,,449,,,59,,0,0,0.0,,0.0,,2022-09-03T14:00:00Z,,,,0,,,9,0,,0,0,,0,6,0,59645,,,,1.0,2.0,0.0,0,17338,24203,6865,44,True,,0,6,2022-23,MID,Spurs,1.0,0.0,0.0,0.0,0.0,0.0
José Malheiro de Sá,0,,,,0,22,1,,,0.0,,,478,,,60,,0,0,0.9,,9.4,,2022-09-03T14:00:00Z,,,,90,,,17,0,,0,0,,0,6,1,542035,,,,0.0,1.0,0.0,6,30677,58225,27548,50,True,,0,6,2022-23,GK,Wolves,6.6,0.0,0.0,0.0,0.0,0.0
Demarai Gray,0,,,,0,11,1,,,31.4,,,189,,,55,,0,0,8.5,,14.4,,2022-09-03T11:30:00Z,,,,90,,,12,0,,0,0,,0,6,0,86171,,,,0.0,0.0,39.0,3,-13382,5245,18627,55,True,,0,6,2022-23,MID,Everton,2.6,0.0,0.0,0.0,0.0,0.0
Neeskens Kebano,0,,,,0,0,0,,,14.0,,,204,,,59,,1,0,1.9,,0.6,,2022-09-03T14:00:00Z,,,,59,,,18,0,,0,0,,0,6,0,6970,,,,1.0,2.0,4.0,1,4,672,668,55,False,,0,6,2022-23,MID,Fulham,1.2,0.0,0.0,0.0,0.0,0.0
Antonee Robinson,0,,,,0,3,0,,,1.4,,,217,,,59,,0,0,0.4,,2.8,,2022-09-03T14:00:00Z,,,,28,,,18,0,,0,0,,0,6,0,16675,,,,1.0,2.0,0.0,1,-1221,776,1997,45,False,,0,6,2022-23,DEF,Fulham,0.8,0.0,0.0,0.0,0.0,0.0
Aaron Wan-Bissaka,0,,,,0,0,0,,,0.0,,,341,,,56,,0,0,0.0,,0.0,,2022-09-04T15:30:00Z,,,,0,,,1,0,,0,0,,0,6,0,24011,,,,1.0,3.0,0.0,0,-2601,1507,4108,43,True,,0,6,2022-23,DEF,Man Utd,0.1,0.0,0.0,0.0,0.0,0.0
Dominic Thompson,0,,,,0,0,0,,,0.0,,,98,,,52,,0,0,0.0,,0.0,,2022-09-03T14:00:00Z,,,,0,,,11,0,,0,0,,0,6,0,2734,,,,2.0,5.0,0.0,0,-180,0,180,40,True,,0,6,2022-23,DEF,Brentford,0.0,0.0,0.0,0.0,0.0,0.0
James Garner,0,,,,0,0,0,,,0.0,,,570,,,55,,0,0,0.0,,0.0,,2022-09-03T11:30:00Z,,,,0,,,12,0,,0,0,,0,6,0,5891,,,,0.0,0.0,0.0,0,3222,3848,626,45,True,,0,6,2022-23,MID,Everton,-1.0,0.0,0.0,0.0,0.0,0.0
Matheus Luiz Nunes,1,,,,3,28,1,,,26.1,,,589,,,60,,0,0,6.5,,30.4,,2022-09-03T14:00:00Z,,,,90,,,17,0,,0,0,,0,6,0,22523,,,,0.0,1.0,8.0,9,514,3796,3282,50,True,,0,6,2022-23,MID,Wolves,4.0,0.0,0.0,0.0,0.0,0.0
Jordan Pickford,0,,,,2,33,1,,,0.0,,,182,,,55,,0,0,6.1,,60.8,,2022-09-03T11:30:00Z,,,,90,,,12,0,,0,0,,0,6,8,527449,,,,0.0,0.0,0.0,9,-17343,17268,34611,45,True,,1,6,2022-23,GK,Everton,3.4,0.0,0.0,0.0,0.0,0.0
Pascal Groß,1,,,,0,34,0,,,65.7,,,104,,,53,,2,0,12.7,,38.2,,2022-09-04T13:00:00Z,,,,90,,,10,0,,0,0,,0,6,0,2570832,,,,2.0,5.0,23.0,5,792273,898627,106354,59,True,,0,6,2022-23,MID,Brighton,5.4,0.0,0.0,0.0,0.0,0.0
Taylor Richards,0,,,,0,0,0,,,0.0,,,121,,,53,,0,0,0.0,,0.0,,2022-09-04T13:00:00Z,,,,0,,,10,0,,0,0,,0,6,0,451,,,,2.0,5.0,0.0,0,-30,0,30,45,True,,0,6,2022-23,MID,Brighton,0.0,0.0,0.0,0.0,0.0,0.0
Paul Dummett,0,,,,0,0,0,,,0.0,,,362,,,57,,0,0,0.0,,0.0,,2022-09-03T14:00:00Z,,,,0,,,7,0,,0,0,,0,6,0,47159,,,,0.0,0.0,0.0,0,-2044,1983,4027,40,True,,0,6,2022-23,DEF,Newcastle,0.0,0.0,0.0,0.0,0.0,0.0
Manuel Akanji,0,,,,0,0,0,,,0.0,,,610,,,51,,0,0,0.0,,0.0,,2022-09-03T16:30:00Z,,,,0,,,2,0,,0,0,,0,6,0,2912,,,,1.0,1.0,0.0,0,2050,2443,393,50,False,,0,6,2022-23,DEF,Man City,3.3,0.0,0.0,0.0,0.0,0.0
Joel Robles,0,,,,0,0,0,,,0.0,,,578,,,52,,0,0,0.0,,0.0,,2022-09-03T14:00:00Z,,,,0,,,4,0,,0,0,,0,6,0,4573,,,,2.0,5.0,0.0,0,66,420,354,40,False,,0,6,2022-23,GK,Leeds,-0.5,0.0,0.0,0.0,0.0,0.0
Lucas Torreira di Pascua,0,,,,0,0,0,,,0.0,,,22,,,56,,0,0,0.0,,0.0,,2022-09-04T15:30:00Z,,,,0,,,14,0,,0,0,,0,6,0,14008,,,,1.0,3.0,0.0,0,-1852,0,1852,45,False,,0,6,2022-23,MID,Arsenal,0.0,0.0,0.0,0.0,0.0,0.0
Rúben da Silva Neves,0,,,,0,9,1,,,4.8,,,480,,,60,,0,0,3.1,,26.6,,2022-09-03T14:00:00Z,,,,90,,,17,0,,0,0,,0,6,0,249290,,,,0.0,1.0,0.0,2,23815,48662,24847,55,True,,1,6,2022-23,MID,Wolves,3.6,0.0,0.0,0.0,0.0,0.0
