id,web_name,first_name,second_name,element_type,position,team_id,team_name,team_short,now_cost,status,chance_of_playing_next_round,selected_by_percent,form,points_per_game,influence,creativity,threat,ict_index
42,A.García,Andrés,García,2,DEF,2,Aston Villa,AVL,4.0,d,25.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0
43,Alex Moreno,Álex,Moreno Lopera,2,DEF,2,Aston Villa,AVL,4.0,a,,9.4,0.0,0.0,0.0,0.0,0.0,0.0
44,Bogarde,Lamare,Bogarde,2,DEF,2,Aston Villa,AVL,4.0,a,,0.3,0.0,0.0,0.0,0.0,0.0,0.0
45,Sousa,Lino,da Cruz Sousa,2,DEF,2,Aston Villa,AVL,4.0,a,,0.4,0.0,0.0,0.0,0.0,0.0,0.0
46,Yasin,Yasin,Özcan,2,DEF,2,Aston Villa,AVL,4.0,a,,0.2,0.0,0.0,0.0,0.0,0.0,0.0
47,Rogers,Morgan,Rogers,3,MID,2,Aston Villa,AVL,7.0,a,100.0,9.7,3.0,3.0,7.2,20.1,4.0,3.1
48,Tielemans,Youri,Tielemans,3,MID,2,Aston Villa,AVL,6.0,a,,2.2,3.0,3.0,4.0,1.1,0.0,0.5
49,Bailey,Leon,Bailey,3,MID,2,Aston Villa,AVL,5.5,a,,0.5,0.0,0.0,0.0,0.0,0.0,0.0
50,Buendía,Emiliano,Buendía Stati,3,MID,2,Aston Villa,AVL,5.4,a,,0.1,0.0,0.0,0.0,0.0,0.0,0.0
51,Iling Jr,Samuel,Iling-Junior,3,MID,2,Aston Villa,AVL,5.5,a,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,Malen,Donyell,Malen,3,MID,2,Aston Villa,AVL,5.4,a,,1.6,1.0,1.0,3.0,0.0,17.0,2.0
54,McGinn,John,McGinn,3,MID,2,Aston Villa,AVL,5.5,a,,0.7,3.0,3.0,5.0,19.3,6.0,3.0
55,Barkley,Ross,Barkley,3,MID,2,Aston Villa,AVL,5.0,d,25.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
56,Barrenechea,Enzo,Barrenechea,3,MID,2,Aston Villa,AVL,5.0,u,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,Dobbin,Lewis,Dobbin,3,MID,2,Aston Villa,AVL,5.0,a,,0.1,0.0,0.0,0.0,0.0,0.0,0.0
58,Kamara,Boubacar,Kamara,3,MID,2,Aston Villa,AVL,5.0,a,,0.2,2.0,2.0,13.8,2.2,17.0,3.3
