name,assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,player_id,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,gw,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,points,transfers_balance,transfers_in,transfers_out,price,was_home,winning_goals,yellow_cards,GW,season,pos,team,xP,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,starts
Gonzalo Montiel,0,,,,0,0,0,,,0.0,,,679,,,329,,0,0,0.0,,0.0,,2024-04-13T14:00:00Z,,,,0,,,20,0,,0,0,,0,33,0,5467,,,,2.0,2.0,0.0,0,-42,68,110,44,True,,0,33,2023-24,DEF,Nott'm Forest,0.2,0.0,0.0,0.0,0.0,0.0
Giovanni Reyna,1,,,,0,16,0,,,36.5,,,801,,,329,,2,0,8.6,,23.8,,2024-04-13T14:00:00Z,,,,70,,,20,0,,0,0,,0,33,0,726,,,,2.0,2.0,26.0,5,-13,38,51,47,True,,0,33,2023-24,MID,Nott'm Forest,2.0,0.22,0.45,0.23,1.05,1.0
Joško Gvardiol,1,,,,1,32,0,,,28.9,,,616,,,327,,1,1,13.6,,64.0,,2024-04-13T14:00:00Z,,,,90,,,12,0,,0,0,,0,33,0,396231,,,,1.0,5.0,43.0,12,34531,45303,10772,48,True,,0,33,2023-24,DEF,Man City,7.3,0.14,0.45,0.31,0.49,1.0
Cole Palmer,0,,,,3,79,1,,,8.3,,,362,,,325,,0,4,23.5,,139.6,,2024-04-15T19:00:00Z,,,,79,,,9,0,,0,0,,0,33,0,5033327,,,,0.0,6.0,87.0,26,197660,214751,17091,61,True,,0,33,2023-24,MID,Chelsea,16.5,0.06,2.33,2.27,1.38,1.0
Ivan Perišić,0,,,,0,0,0,,,0.0,,,507,,,328,,0,0,0.0,,0.0,,2024-04-13T11:30:00Z,,,,0,,,15,0,,0,0,,0,33,0,78343,,,,0.0,4.0,0.0,0,-172,0,172,47,False,,0,33,2023-24,DEF,Spurs,0.0,0.0,0.0,0.0,0.0,0.0
Jordan Amissah,0,,,,0,0,0,,,0.0,,,472,,,323,,0,0,0.0,,0.0,,2024-04-13T14:00:00Z,,,,0,,,4,0,,0,0,,0,33,0,32364,,,,0.0,2.0,0.0,0,82,373,291,39,False,,0,33,2023-24,GK,Sheffield Utd,-0.5,0.0,0.0,0.0,0.0,0.0
Carlos Henrique Casimiro,0,,,,0,18,0,,,13.8,,,376,,,322,,2,0,5.3,,30.8,,2024-04-13T16:30:00Z,,,,90,,,3,0,,0,0,,0,33,0,208070,,,,2.0,2.0,8.0,2,-192,737,929,53,False,,0,33,2023-24,MID,Man Utd,2.2,0.03,0.03,0.0,1.75,1.0
Tom Heaton,0,,,,0,0,0,,,0.0,,,384,,,322,,0,0,0.0,,0.0,,2024-04-13T16:30:00Z,,,,0,,,3,0,,0,0,,0,33,0,9322,,,,2.0,2.0,0.0,0,-39,61,100,39,False,,0,33,2023-24,GK,Man Utd,0.0,0.0,0.0,0.0,0.0,0.0
Jacob Wright,0,,,,0,0,0,,,0.0,,,814,,,327,,0,0,0.0,,0.0,,2024-04-13T14:00:00Z,,,,0,,,12,0,,0,0,,0,33,0,135,,,,1.0,5.0,0.0,0,1,17,16,45,True,,0,33,2023-24,MID,Man City,1.5,0.0,0.0,0.0,0.0,0.0
Sepp van den Berg,0,,,,0,0,0,,,0.0,,,312,,,326,,0,0,0.0,,0.0,,2024-04-14T13:00:00Z,,,,0,,,8,0,,0,0,,0,33,0,1529,,,,1.0,0.0,0.0,0,-10,0,10,40,True,,0,33,2023-24,DEF,Liverpool,0.0,0.0,0.0,0.0,0.0,0.0
Anel Ahmedhodžić,0,,,,0,7,0,,,0.6,,,471,,,323,,2,0,0.8,,5.6,,2024-04-13T14:00:00Z,,,,90,,,4,0,,0,0,,0,33,0,17986,,,,0.0,2.0,2.0,1,599,806,207,43,False,,0,33,2023-24,DEF,Sheffield Utd,0.3,0.04,0.04,0.0,1.02,1.0
Max Aarons,0,,,,0,3,0,,,1.3,,,643,,,322,,0,0,0.1,,0.0,,2024-04-13T16:30:00Z,,,,20,,,14,0,,0,0,,0,33,0,13001,,,,2.0,2.0,1.0,1,10,108,98,44,True,,0,33,2023-24,DEF,Bournemouth,0.5,0.01,0.03,0.02,0.02,0.0
Josh Powell,0,,,,0,0,0,,,0.0,,,637,,,329,,0,0,0.0,,0.0,,2024-04-13T14:00:00Z,,,,0,,,20,0,,0,0,,0,33,0,18344,,,,2.0,2.0,0.0,0,270,615,345,39,True,,0,33,2023-24,DEF,Nott'm Forest,0.0,0.0,0.0,0.0,0.0,0.0
Cristian Romero,0,,,,0,10,0,,,4.9,,,511,,,328,,4,0,1.5,,10.2,,2024-04-13T11:30:00Z,,,,90,,,15,0,,0,0,,0,33,0,1201009,,,,0.0,4.0,0.0,-1,-43494,14984,58478,52,False,,1,33,2023-24,DEF,Spurs,1.5,0.23,0.23,0.0,2.86,1.0
Daniel Bentley,0,,,,0,0,0,,,0.0,,,546,,,329,,0,0,0.0,,0.0,,2024-04-13T14:00:00Z,,,,0,,,16,0,,0,0,,0,33,0,91498,,,,2.0,2.0,0.0,0,-1097,640,1737,39,False,,0,33,2023-24,GK,Wolves,0.0,0.0,0.0,0.0,0.0,0.0
